SAMPLE	GENOME	TOT_RDS	TOT_BP	Size	MEAN_COV	COM_FRAC
ET_SCN_7	2019_SCN_bioreactor_t2_biofilm_Novosphingobium_sp_MD-1_67_8	769	115150	3432314	0.033548795	0.00014188
ET_SCN_7	2019_SCN_bioreactor_t2_biofilm_Sphingobacteriales_50_15	496424	74433672	9343152	7.966655364	0.033691581
ET_SCN_7	2019_SCN_bioreactor_t2_biofilm_Xanthomonadales_71_37	1212	181767	2596304	0.070009906	0.000296077
ET_SCN_7	2019_SCN_bioreactor_t2_plantonic_Alphaproteobacteria_70_36	7815	1171543	5884952	0.199074351	0.0008419
ET_SCN_7	2019_SCN_bioreactor_t2_plantonic_Sphingomonadales_63_2074	26203	3928945	3756989	1.045769631	0.004422638
ET_SCN_7	2019_SCN_bioreactor_t3_biofilm_Acidobacteriales_60_11	5906	885466	4117645	0.21504185	0.000909428
ET_SCN_7	2019_SCN_bioreactor_t3_biofilm_Bacteroidetes_40_21	1034	155055	6135429	0.025272071	0.000106877
ET_SCN_7	2019_SCN_bioreactor_t3_biofilm_Bacteroidetes_44_17	396902	59510891	6069571	9.804793617	0.041465205
ET_SCN_7	2019_SCN_bioreactor_t3_biofilm_Devosia_66_11	61	9146	4285650	0.002134099	9.03e-06
ET_SCN_7	2019_SCN_bioreactor_t3_biofilm_Leifsonia_71_11	3456	518197	3034240	0.170783129	0.000722255
ET_SCN_7	2019_SCN_bioreactor_t3_biofilm_Verrucomicrobia_59_10	82495	12369429	3637044	3.400956656	0.0143829
ET_SCN_7	2019_SCN_bioreactor_t3_planktonic_Azospirillum_lipoferum_68_106	600	89980	5405113	0.016647201	7.04e-05
ET_SCN_7	2019_SCN_bioreactor_t3_planktonic_Klebsiella_oxytoca_56_23	11791	1768035	5785362	0.305604904	0.001292426
ET_SCN_7	2019_SCN_bioreactor_t3_planktonic_Planctomycetes_54_6	2412	361618	5229224	0.069153282	0.000292454
ET_SCN_7	2019_SCN_bioreactor_t4_biofilm_Comamonas_61_10	1127	169017	5354488	0.031565483	0.000133493
ET_SCN_7	2019_SCN_bioreactor_t4_planktonic_Bacteroidetes_43_45	31946	4790126	4229238	1.132621527	0.004789941
ET_SCN_7	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	21465	3218396	6293399	0.511392333	0.002162716
ET_SCN_7	CN18_26_2_15_R1_F_uSCNPILOT_CONT_500_BF_Rhizobiales_64_17_64_27	10798	1619054	4633717	0.349407182	0.001477669
ET_SCN_7	CN18_26_2_15_R4_P_Melainabacteria_51_74	172	25789	4615792	0.005587124	2.36e-05
ET_SCN_7	CN18_30_10_14_R2_B_Alphaproteobacteria_67_12	33	4949	5684320	0.000870641	3.68e-06
ET_SCN_7	E.coli_WM3604_scaffold_min1000	33	4949	4612074	0.001073053	4.54e-06
ET_SCN_7	SCN18_10_11_15_R1_B_SCNPILOT_CONT_300_BF_Rhizobiales_62_47_63_12	140	20995	4665019	0.004500518	1.9e-05
ET_SCN_7	SCN18_10_11_15_R1_B_SCNPILOT_EXPT_1000_BF_Rhizobiales_63_7_63_17	23	3449	6549139	0.000526634	2.23e-06
ET_SCN_7	SCN18_10_11_15_R1_B_Solirubrobacterales_67_19	0	0	3216134	0	0
ET_SCN_7	SCN18_10_11_15_R1_P_Microbacterium_71_863	18	2700	3864224	0.000698717	2.95e-06
ET_SCN_7	SCN18_10_11_15_R3_B_Afipia_64_1782_curated	516932	77499643	3548607	21.83945503	0.092360689
ET_SCN_7	SCN18_10_11_15_R3_B_Rhizobiales_63_59	276	41381	7452781	0.005552424	2.35e-05
ET_SCN_7	SCN18_10_11_15_R4_P_Reyranella_68_349	95	14246	6472661	0.00220095	9.31e-06
ET_SCN_7	SCN18_10_11_15_R4_P_Rhizobiales_68_13	5325	798105	5537263	0.144133483	0.000609551
ET_SCN_7	SCN18_10_11_15_R4_P_SCNPILOT_CONT_750_P_Caedibacter_acanthamoebae_37_11_38_20	2	300	1645883	0.000182273	7.71e-07
ET_SCN_7	SCN18_10_11_15_R4_P_SCNPILOT_EXPT_1000_BF_Sphingobacteriia_40_10_29_136	0	0	2121440	0	0
ET_SCN_7	SCN18_10_11_15_R4_P_Sphingobacteriales_45_140	0	0	3943039	0	0
ET_SCN_7	SCN18_10_11_15_R5_B_Rhizobiales_67_21	30	4498	8382456	0.000536597	2.27e-06
ET_SCN_7	SCN18_10_11_15_R5_B_SCNPILOT_CONT_1000_BF_Mesorhizobium_65_39_64_12	64566	9679125	7086805	1.365795306	0.00577605
ET_SCN_7	SCN18_10_11_15_R5_P_Alphaproteobacteria_68_131	905	135730	7539962	0.018001417	7.61e-05
ET_SCN_7	SCN18_10_11_15_R5_P_Candidatus_Caedibacter_acanthamoebae_SCNPILOT_EXPT_500_P_38_48_38_48	8	1200	1997675	0.000600698	2.54e-06
ET_SCN_7	SCN18_13_7_16_R1_B_Burkholderiales_69_20	37	5549	3916558	0.001416805	5.99e-06
ET_SCN_7	SCN18_13_7_16_R1_B_Mesorhizobium_65_18	44	6599	4818058	0.001369639	5.79e-06
ET_SCN_7	SCN18_13_7_16_R1_B_Nakamurella_69_21	55	8247	4497244	0.00183379	7.76e-06
ET_SCN_7	SCN18_13_7_16_R1_B_SCNpilot_P_inoc_Stenotrophomonas_69_27_68_91	239	35833	4001815	0.008954187	3.79e-05
ET_SCN_7	SCN18_13_7_16_R1_B_Solirubrobacterales_68_13	4	600	2489084	0.000241053	1.02e-06
ET_SCN_7	SCN18_13_7_16_R1_B_Xanthomonadales_69_60	0	0	3386114	0	0
ET_SCN_7	SCN18_13_7_16_R3_B_Actinobacteria_70_9	4184	627236	4508133	0.139134316	0.000588409
ET_SCN_7	SCN18_13_7_16_R3_B_SCNPILOT_CONT_300_BF_Rhizobiales_62_47_63_31	10787	1616516	4726775	0.341991315	0.001446307
ET_SCN_7	SCN18_13_7_16_R3_B_SCN_Thiomonas_15x_64_19	3245902	486683540	3414391	142.5389008	0.602807671
ET_SCN_7	SCN18_13_7_16_R4_B_Burkholderiales_66_10	20	3000	6110206	0.000490982	2.08e-06
ET_SCN_7	SCN18_13_7_16_R4_B_Burkholderiales_68_29	49	7340	6729370	0.001090741	4.61e-06
ET_SCN_7	SCN18_14_9_16_R1_B_Chryseobacterium_40_24	100	14987	3048146	0.004916759	2.08e-05
ET_SCN_7	SCN18_14_9_16_R1_B_Rhizobiales_65_9	52	7795	5013351	0.001554848	6.58e-06
ET_SCN_7	SCN18_14_9_16_R1_B_SCNpilot_P_inoc_Kapabacteria_57_18_59_45	0	0	3253864	0	0
ET_SCN_7	SCN18_14_9_16_R2_B_Alphaproteobacteria_64_15	5321	797860	6313041	0.126382832	0.000534482
ET_SCN_7	SCN18_14_9_16_R3_B_SCNPILOT_CONT_300_BF_Rhizobiales_62_47-related_60_10	0	0	3129718	0	0
ET_SCN_7	SCN18_14_9_16_R3_B_SCNPILOT_EXPT_1000_BF_Sphingobacteriia_40_10_37_82	0	0	3329790	0	0
ET_SCN_7	SCN18_14_9_16_R4_B_Actinobacteria_68_6	0	0	1814631	0	0
ET_SCN_7	SCN18_14_9_16_R4_B_SCNPILOT_EXPT_300_BF_Sphingomonadales_67_9_67_9	324	48589	2933246	0.016564925	7.01e-05
ET_SCN_7	SCN18_14_9_16_R5_B_Filimonas_42_18	0	0	6151592	0	0
ET_SCN_7	SCN18_14_9_16_R5_B_Mesorhizobium_63_3	565	84725	6235509	0.013587503	5.75e-05
ET_SCN_7	SCN18_25_1_16_R1_B_Burkholderiales_68_8	0	0	2409378	0	0
ET_SCN_7	SCN18_25_1_16_R1_B_Chitinophagaceae_40_177	0	0	4101688	0	0
ET_SCN_7	SCN18_25_1_16_R1_B_SCNPILOT_CONT_300_BF_Rhizobiales_62_47_62_13	2005	300491	5170539	0.058115991	0.000245777
ET_SCN_7	SCN18_25_1_16_R1_B_SCN_Comamonas_36x_67_66	111	16639	3347540	0.004970516	2.1e-05
ET_SCN_7	SCN18_25_1_16_R2_B_Alphaproteobacteria_70_11	4223	633285	4340141	0.145913462	0.000617079
ET_SCN_7	SCN18_25_1_16_R2_B_SCNPILOT_CONT_300_BF_Rhizobiales_62_47-related_62_30	13	1950	5027196	0.00038789	1.64e-06
ET_SCN_7	SCN18_25_1_16_R3_B_Rudaea_64_147	3262	489179	5517738	0.088655714	0.000374932
ET_SCN_7	SCN18_25_1_16_R3_B_SCNPILOT_CONT_1000_P_Gammaproteobacteria_novel_39_13_39_37	0	0	3677198	0	0
ET_SCN_7	SCN18_25_1_16_R4_B_SCNPILOT_SOLID2_TRIM150_Afipia_61_20_61_46	2318	347479	3896152	0.089185176	0.000377171
ET_SCN_7	SCN18_25_1_16_R5_B_Rhizobiales_60_7	1885	282660	4184928	0.067542381	0.000285642
ET_SCN_7	SCN18_25_8_15_R2_B_Bosea_sp_LC85_SCNPILOT_EXPT_1000_BF_Rhizobiales_65_15_66_16	1	150	4890684	3.07e-05	1.3e-07
ET_SCN_7	SCN18_25_8_15_R2_B_CN-SCN_Microbacterium_18x_70_9	0	0	3048282	0	0
ET_SCN_7	SCN18_25_8_15_R2_B_Nitrosospira_multiformis_SCNPILOT_SOLID_1_TRIM150_Nitrosospira_54_27_54_34	4	600	3018418	0.00019878	8.41e-07
ET_SCN_7	SCN18_25_8_15_R2_B_SCNPILOT_EXPT_1000_BF_Altererythrobacter_66_12_66_16	19	2849	3158237	0.000902086	3.81e-06
ET_SCN_7	SCN18_25_8_15_R2_B_SCNPILOT_EXPT_1000_BF_Devosia_62_26-related_62_9	8	1200	4234864	0.000283362	1.2e-06
ET_SCN_7	SCN18_25_8_15_R2_B_SCNPILOT_EXPT_750_BF_Actinomycetales_70_150_72_69	2	300	3324329	9.02e-05	3.82e-07
ET_SCN_7	SCN18_25_8_15_R2_B_SCNPILOT_EXPT_750_BF_Sphingobacteriia_47_330_48_20	286	42891	4755454	0.009019328	3.81e-05
ET_SCN_7	SCN18_25_8_15_R2_B_SCNpilot_BF_INOC_Bordetella_67_10-related_69_14	0	0	3143846	0	0
ET_SCN_7	SCN18_25_8_15_R2_B_Xanthomonadales_66_12	3028	454063	3496265	0.129870876	0.000549234
ET_SCN_7	SCN18_25_8_15_R3_B_WPS-2_62_28	54	8020	7653012	0.001047953	4.43e-06
ET_SCN_7	SCN18_25_8_15_R4_B_Xanthomonadales_70_612	8	1200	2676672	0.000448318	1.9e-06
ET_SCN_7	SCN18_25_8_15_R5_B_Rhodanobaceraceae_66_24	10761	1613217	3724418	0.433146065	0.001831807
ET_SCN_7	SCN18_26_2_15_R1_B_Micrococcales_64_47	4334	649765	4082655	0.159152561	0.000673068
ET_SCN_7	SCN18_26_2_15_R1_B_Proprionibacteraceae_70_19	9748	1461332	4242603	0.344442315	0.001456672
ET_SCN_7	SCN18_26_2_15_R1_B_SCNPILOT_CONT_1000_BF_Rhizobiales_65_79_66_12	319	47838	4868845	0.009825328	4.16e-05
ET_SCN_7	SCN18_26_2_15_R1_B_SCNPILOT_SOLID2_TRIM150_Alphaproteobacteria_62_41_62_24	1745	261674	3582612	0.073040005	0.000308892
ET_SCN_7	SCN18_26_2_15_R1_F_Bosea_sp_LC85_SCNPILOT_EXPT_1000_BF_Rhizobiales_65_15_67_33	384	57592	4873045	0.011818483	5e-05
ET_SCN_7	SCN18_26_2_15_R1_F_Chitinophagaceae_50_26	430373	64528556	7944810	8.12210185	0.034348976
ET_SCN_7	SCN18_26_2_15_R1_F_SCNPILOT_CONT_1000_BF_Chloroflexi_54_27_54_23	76954	11538159	8956367	1.28826331	0.005448162
ET_SCN_7	SCN18_26_2_15_R1_F_SCNPILOT_EXPT_300_BF_Thiobacillus_62_448_63_78	731	109590	3584500	0.030573302	0.000129297
ET_SCN_7	SCN18_26_2_15_R1_P_SCNPILOT_CONT_1000_BF_Mesorhizobium_65_39_65_22	55441	8312207	6615161	1.256538881	0.005313997
ET_SCN_7	SCN18_26_2_15_R2_B_Rhizobiales_60_31	128	19189	6552773	0.002928379	1.24e-05
ET_SCN_7	SCN18_26_2_15_R2_B_Rhizobiales_61_8	2181	326965	2996661	0.109109773	0.000461433
ET_SCN_7	SCN18_26_2_15_R2_B_SCNPILOT_CONT_1000_BF_Rhizobiales_65_18_67_34	93702	14049019	4186106	3.356106845	0.014193227
ET_SCN_7	SCN18_26_2_15_R2_B_SCNPILOT_CONT_750_BF_Rhodospirillales_68_10_70_15	3405	510485	5293473	0.096436687	0.000407838
ET_SCN_7	SCN18_26_2_15_R2_B_SCN_Variovorax_21x_67_25	1	150	7857986	1.91e-05	8.07e-08
ET_SCN_7	SCN18_26_2_15_R2_P_Planctomycetes_69_10	6	900	6638716	0.000135568	5.73e-07
ET_SCN_7	SCN18_26_2_15_R2_P_SCNPILOT_CONT_500_P_Xanthomonadales_69_150_Rhodanobacter_68_51	126	18894	3833301	0.004928911	2.08e-05
ET_SCN_7	SCN18_26_2_15_R3_B_Saccharibacteria_TM7_47_55	0	0	938312	0	0
ET_SCN_7	SCN18_26_2_15_R4_B_Rhodanobacter_69_138	290324	43527736	4047913	10.75313032	0.045475792
ET_SCN_7	SCN18_26_2_15_R4_B_SCNPILOT_CONT_750_P_Burkholderiales_64_62_65_12	30	4488	5469709	0.000820519	3.47e-06
ET_SCN_7	SCN18_26_2_15_R4_P_Microbacterium_70_222	51314	7692622	2953160	2.604878164	0.011016225
ET_SCN_7	SCN18_26_2_15_R5_B_Alphaproteobacteria_66_27	1757	263432	7324041	0.035968122	0.000152112
ET_SCN_7	SCN18_26_2_15_R5_F_Sphingomonas_65_27	40	5996	3341277	0.001794523	7.59e-06
ET_SCN_7	SCN18_30_10_14_R1_B_SCNPILOT_EXPT_1000_BF_Afipia_62_8_60_16	829	124308	4609494	0.026967819	0.000114049
ET_SCN_7	SCN18_30_10_14_R1_B_SCNPILOT_EXPT_750_BF_Actinomycetales_70_150_73_20	0	0	2848058	0	0
ET_SCN_7	SCN18_30_10_14_R1_B_Sphingobium_66_9	14	2062	3875922	0.000532002	2.25e-06
ET_SCN_7	SCN18_30_10_14_R1_P_Bosea_67_18	1735	260052	4815883	0.05399882	0.000228365
ET_SCN_7	SCN18_30_10_14_R1_P_Cytophagales_49_46	0	0	8175295	0	0
ET_SCN_7	SCN18_30_10_14_R1_P_Rhizobiales_62_27	2208	330904	5806422	0.056989313	0.000241012
ET_SCN_7	SCN18_30_10_14_R1_P_SCNPILOT_EXPT_1000_BF_Sphingomonas_65_55_65_26	1	150	3585854	4.18e-05	1.77e-07
ET_SCN_7	SCN18_30_10_14_R2_B_Alphaproteobacteria_64_8	94	14100	2659181	0.005302384	2.24e-05
ET_SCN_7	SCN18_30_10_14_R2_B_Bacteria_71_11	1	17	9007526	1.89e-06	7.98e-09
ET_SCN_7	SCN18_30_10_14_R2_B_Bradyrhizobiaceae_62_135	11215	1681299	4799874	0.35027982	0.00148136
ET_SCN_7	SCN18_30_10_14_R2_B_Possibly_Chloroflexi_64_8	26	3900	3141211	0.001241559	5.25e-06
ET_SCN_7	SCN18_30_10_14_R2_B_Rhizobiales_63_8	60	9000	4692807	0.001917829	8.11e-06
ET_SCN_7	SCN18_30_10_14_R2_B_Rhizobiales_64_10	11	1650	4560801	0.000361779	1.53e-06
ET_SCN_7	SCN18_30_10_14_R2_B_Rhizobiales_64_7	4	600	2659393	0.000225615	9.54e-07
ET_SCN_7	SCN18_30_10_14_R2_B_Rhizobiales_64_8	146	21897	3075841	0.007119029	3.01e-05
ET_SCN_7	SCN18_30_10_14_R2_B_Rhizobiales_67_7	57	8549	2127637	0.004018073	1.7e-05
ET_SCN_7	SCN18_30_10_14_R2_B_SCNPILOT_CONT_1000_P_Alphaproteobacteria_64_11_65_16	14296	2143425	3446473	0.621918408	0.002630139
ET_SCN_7	SCN18_30_10_14_R2_B_SCNPILOT_EXPT_1000_BF_Afipia_62_8-rel_65_16	186	27864	4019435	0.006932318	2.93e-05
ET_SCN_7	SCN18_30_10_14_R2_B_SCNPILOT_SOLID2_TRIM150_Alphaproteobacteria_62_41_63_12	8096	1213963	3494698	0.347372792	0.001469066
ET_SCN_7	SCN18_30_10_14_R2_P_Burkholderiales_63_16	32	4794	5657395	0.000847386	3.58e-06
ET_SCN_7	SCN18_30_10_14_R2_P_Sphingomonas_67_78	24	3600	3183506	0.001130829	4.78e-06
ET_SCN_7	SCN18_30_10_14_R3_B_Delftia_65_125	0	0	4899136	0	0
ET_SCN_7	SCN18_30_10_14_R3_B_Leifsonia_70_93	0	0	3126661	0	0
ET_SCN_7	SCN18_30_10_14_R3_B_Rhizobiales_60_7	18	2700	4098479	0.000658781	2.79e-06
ET_SCN_7	SCN18_30_10_14_R3_B_Rhizobiales_64_9	0	0	5594316	0	0
ET_SCN_7	SCN18_30_10_14_R3_B_SCNPILOT_CONT_1000_P_Verrucomicrobia_61_8_61_17	11	1649	5110051	0.000322697	1.36e-06
ET_SCN_7	SCN18_30_10_14_R3_B_SCNPILOT_CONT_500_BF_Rhizobiales_64_17-related_63_20	269	40277	3709453	0.010857935	4.59e-05
ET_SCN_7	SCN18_30_10_14_R3_B_SCNPILOT_EXPT_500_BF_STEP10_Armatimonadetes_55_34_56_13	0	0	4448170	0	0
ET_SCN_7	SCN18_30_10_14_R3_B_SCNpilot_P_inoc_Thiobacillus_strain2_63_34_65_22	50	7494	2984013	0.002511383	1.06e-05
ET_SCN_7	SCN18_30_10_14_R3_P_Alphaproteobacteria_65_207	1840	275829	5203457	0.053008798	0.000224178
ET_SCN_7	SCN18_30_10_14_R3_P_Bosea_sp_LC85_SCNPILOT_EXPT_1000_BF_Rhizobiales_65_15_67_61	0	0	5551342	0	0
ET_SCN_7	SCN18_30_10_14_R3_P_Burkholderiales_68_190	141	21145	4991047	0.004236586	1.79e-05
ET_SCN_7	SCN18_30_10_14_R3_P_CN-SCN_Devosia_27x_66_71	283	42428	4092090	0.010368296	4.38e-05
ET_SCN_7	SCN18_30_10_14_R3_P_CN-SCN_Microbacterium_27x_70_19	93	13945	2788097	0.005001619	2.12e-05
ET_SCN_7	SCN18_30_10_14_R3_P_Caulobacterales_69_10	0	0	2395800	0	0
ET_SCN_7	SCN18_30_10_14_R3_P_Rhizobiales_65_8	1	150	3477740	4.31e-05	1.82e-07
ET_SCN_7	SCN18_30_10_14_R3_P_SCNPILOT_EXPT_1000_BF_Afipia_62_8_62_188	1933	289785	3895075	0.074397797	0.000314634
ET_SCN_7	SCN18_30_10_14_R4_B_Microbacterium_70_78	258	38691	3498495	0.011059327	4.68e-05
ET_SCN_7	SCN18_30_10_14_R4_P_Alphaproteobacteria_64_8	1659	248759	5414201	0.045945653	0.000194308
ET_SCN_7	SCN18_30_10_14_R4_P_Microbacterium_70_55	656	98329	3762096	0.02613676	0.000110534
ET_SCN_7	SCN18_30_10_14_R4_P_Rhizobiales_66_13	264	39580	4256458	0.009298811	3.93e-05
ET_SCN_7	SCN18_30_10_14_R4_P_SCNPILOT_CONT_300_BF_Rhizobiales_67_6-related_67_37	16216	2431250	5097286	0.476969509	0.00201714
ET_SCN_7	SCN18_30_10_14_R4_P_SCN_Variovorax_21x_69_13	19	2850	6119080	0.000465756	1.97e-06
ET_SCN_7	SCN18_30_10_14_R5_P_Alphaproteobacteria_65_16	8	1200	5322918	0.00022544	9.53e-07
ET_SCN_7	SCN18_30_10_14_R5_P_Burkholderiales_69_51	0	0	4428054	0	0
ET_SCN_7	SCN18_30_10_14_R5_P_Hydrogenophaga_sp_PBC_SCNpilot_P_inoc_Hydrogenophaga_70_12_70_78	0	0	4666461	0	0
ET_SCN_7	SCN18_30_10_14_R5_P_Sphingomonadales_65_13	1	150	5106904	2.94e-05	1.24e-07
ET_SCN_7	SCN18_31_3_15_R1_B_Nitrobacter_62_136	5579	836616	3596918	0.232592458	0.000983651
ET_SCN_7	SCN18_31_3_15_R1_B_Nitrosospira_56_42	6322	947898	3240699	0.292498007	0.001236996
ET_SCN_7	SCN18_31_3_15_R1_B_SCNPILOT_CONT_1000_BF_Rhizobiales_65_79_68_31	3062	458923	4431631	0.10355623	0.000437947
ET_SCN_7	SCN18_31_3_15_R3_B_SCNPILOT_EXPT_300_BF_Sphingomonas_67_13_68_146	21134	3167864	4444055	0.712831862	0.003014619
ET_SCN_7	SCN18_31_3_15_R4_B_Acidobacteria_62_15	21797	3268258	9385101	0.34823898	0.001472729
ET_SCN_7	SCN18_31_3_15_R4_B_SCNpilot_BF_INOC_Flavobacterium_39_30_40_63	0	0	3890927	0	0
ET_SCN_7	SCN18_31_3_15_R5_B_SCNPILOT_CONT_750_BF_Chitinophagaceae_50_32	76	11398	9391252	0.001213683	5.13e-06
ET_SCN_7	SCN18_SCNpilot_BF_INOC_Bordetella_67_10_67_46	2	300	3232968	9.28e-05	3.92e-07
ET_SCN_7	SCNPILOT_EXPT_1000_BF_Rhizobiales_69_8_partial_69_13	87	13047	5320238	0.002452334	1.04e-05
ET_SCN_7	SCN_bioreactor_inoc_reactora_Bacteroidetes_38_10	0	0	3655513	0	0
ET_SCN_7	SCN_bioreactor_inoc_reactora_Bacteroidetes_39_99	0	0	3302211	0	0
ET_SCN_7	SCN_bioreactor_inoc_reactora_Legionella_40_7	395	59223	2376544	0.0249198	0.000105388
ET_SCN_7	SCN_bioreactor_inoc_reactorb_Actinobacteria_65_60	2	300	2733184	0.000109762	4.64e-07
ET_SCN_7	SCN_bioreactor_inoc_reactorb_Bacteroidetes_53_13	0	0	3035995	0	0
ET_SCN_7	SCN_bioreactor_inoc_reactorb_Betaproteobacteria_68_25	911	136455	4928268	0.027688226	0.000117096
ET_SCN_7	SCN_bioreactor_inoc_reactorb_Rhodocyclales_66_46	326	48878	3693402	0.013233869	5.6e-05
ET_SCN_7	SCN_bioreactor_t0_Alphaproteobacteria_66_43	1282	192249	5098746	0.037705153	0.000159458
ET_SCN_7	SCN_bioreactor_t0_Leifsonia_70_11	560	83863	2690851	0.031165977	0.000131803
ET_SCN_7	SCN_bioreactor_t0_Rhizobiales_60_89	523	78418	4455400	0.017600664	7.44e-05
ET_SCN_7	SCNpilot_BF_INOC_Bordetella_67_10_67_30	300	44988	6610525	0.006805511	2.88e-05
ET_SCN_7	pHLL249	0	0	4808	0	0
ET_SCN_7	pHLL250	4	600	4892	0.122649223	0.000518693
ET_SCN_7	scnpilot_dereplicated_Accumulibacter_1	27	3928	4385439	0.000895691	3.79e-06
ET_SCN_7	scnpilot_dereplicated_Acinetobacter_1	0	0	3478169	0	0
ET_SCN_7	scnpilot_dereplicated_Aeromonas_1	0	0	4467577	0	0
ET_SCN_7	scnpilot_dereplicated_Alicycliphilus_1	198	29695	4633122	0.006409285	2.71e-05
ET_SCN_7	scnpilot_dereplicated_Alphaproteobacteria_1	0	0	2859639	0	0
ET_SCN_7	scnpilot_dereplicated_Alphaproteobacteria_5	0	0	1883020	0	0
ET_SCN_7	scnpilot_dereplicated_Alphaproteobacteria_9	16	2400	1559746	0.001538712	6.51e-06
ET_SCN_7	scnpilot_dereplicated_Amoebophilus_1	0	0	1762822	0	0
ET_SCN_7	scnpilot_dereplicated_Bacteroidales_1	0	0	3916741	0	0
ET_SCN_7	scnpilot_dereplicated_Bacteroidales_2	31	4644	3860239	0.001203034	5.09e-06
ET_SCN_7	scnpilot_dereplicated_Bacteroidetes_3	0	0	2468842	0	0
ET_SCN_7	scnpilot_dereplicated_Bacteroidetes_4	404	60586	4727320	0.012816141	5.42e-05
ET_SCN_7	scnpilot_dereplicated_Bacteroidetes_5	0	0	3123620	0	0
ET_SCN_7	scnpilot_dereplicated_Bacteroidetes_6	24	3600	4357586	0.000826145	3.49e-06
ET_SCN_7	scnpilot_dereplicated_Bacteroidetes_8	11	1650	3866915	0.000426697	1.8e-06
ET_SCN_7	scnpilot_dereplicated_Bacteroidia_1	0	0	3605433	0	0
ET_SCN_7	scnpilot_dereplicated_Bacteroidia_2	0	0	5737001	0	0
ET_SCN_7	scnpilot_dereplicated_Brevundimonas_1	0	0	2930189	0	0
ET_SCN_7	scnpilot_dereplicated_Burkholderiales_1	38	5568	5773277	0.000964444	4.08e-06
ET_SCN_7	scnpilot_dereplicated_Burkholderiales_2	2	300	3643094	8.23e-05	3.48e-07
ET_SCN_7	scnpilot_dereplicated_Burkholderiales_4	30	4497	4721507	0.00095245	4.03e-06
ET_SCN_7	scnpilot_dereplicated_Burkholderiales_7	1	150	3765990	3.98e-05	1.68e-07
ET_SCN_7	scnpilot_dereplicated_Burkholderiales_9	1	18	3170979	5.68e-06	2.4e-08
ET_SCN_7	scnpilot_dereplicated_Caedibacter_2	0	0	1832742	0	0
ET_SCN_7	scnpilot_dereplicated_Cellulomonas_1	806	120873	3706680	0.032609505	0.000137908
ET_SCN_7	scnpilot_dereplicated_Chlamydia_1	2	300	2529957	0.000118579	5.01e-07
ET_SCN_7	scnpilot_dereplicated_Chlamydiales_1	2	300	2834110	0.000105853	4.48e-07
ET_SCN_7	scnpilot_dereplicated_Chloroflexi_1	0	0	4184439	0	0
