SAMPLE	GENOME	model	RDSdC	UBCdC	BCPR	BCPRdC	DESC	CONC	EXP
BR_1_1_B_Kcurve_1	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	B	0.01	Treatment
BR_1_1_B_Kcurve_1	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	0	0	B	0.01	Treatment
BR_1_1_B_Kcurve_1	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	B	0.01	Treatment
BR_1_10_A_Kcurve_10	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	3384443	490	0.000293354	0.00014478	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	pHLL250	NewPrimer_mariner	15985	2	0.000187664	0.000125117	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	0	0	0.942857143	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	0	0	1	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	pHLL249	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_A_Kcurve_10	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_10_B_Kcurve_10	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	3761920	466	0.000260999	0.000123873	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	pHLL250	NewPrimer_mariner	17203	2	0.000348695	0.000116259	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	0	0	0.962962963	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	pHLL249	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_10_B_Kcurve_10	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_11_A_Kcurve_11	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	1986105	1017	0.00187443	0.000512058	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	pHLL250	NewPrimer_mariner	21922	6	0.000729528	0.000273698	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	6317	30	0.036884621	0.00474909	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	0	0	0.25	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	0	0	1	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	1	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	pHLL249	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_11_A_Kcurve_11	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_11_B_Kcurve_11	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	2101402	824	0.001564838	0.000392119	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	pHLL250	NewPrimer_mariner	22867	7	0.000743007	0.000306118	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	6356	18	0.028083028	0.00283197	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	0	0	0.25	0	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	3	1	0.5	0.333333333	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	1	0	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	pHLL249	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_11_B_Kcurve_11	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_A_Kcurve_12	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	1928447	1919	0.001458442	0.000995101	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	1920	1	0.000520833	0.000520833	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	4	2	0.886363636	0.5	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	pHLL250	NewPrimer_mariner	34	1	0.108108108	0.029411765	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	pHLL249	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_A_Kcurve_12	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	A	1e-05	Treatment
BR_1_12_B_Kcurve_12	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	2092200	1921	0.001331476	0.000918172	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	1927	1	0.001037344	0.000518941	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	pHLL250	NewPrimer_mariner	65	1	0.044776119	0.015384615	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	2	1	0.942857143	0.5	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	pHLL249	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_12_B_Kcurve_12	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	B	1e-05	Treatment
BR_1_13_A_Kcurve_13	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	2184403	1913	0.001465779	0.000875754	A	0	Control
BR_1_13_A_Kcurve_13	pHLL250	NewPrimer_mariner	8363	2	0.000478126	0.000239149	A	0	Control
BR_1_13_A_Kcurve_13	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	4684	1	0.000213493	0.000213493	A	0	Control
BR_1_13_A_Kcurve_13	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	2	1	0.944444444	0.5	A	0	Control
BR_1_13_A_Kcurve_13	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	2	1	0.666666667	0.5	A	0	Control
BR_1_13_A_Kcurve_13	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_13_A_Kcurve_13	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_13_A_Kcurve_13	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_13_A_Kcurve_13	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_13_A_Kcurve_13	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_13_A_Kcurve_13	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_13_A_Kcurve_13	pHLL249	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_13_A_Kcurve_13	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_13_A_Kcurve_13	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_13_A_Kcurve_13	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_13_B_Kcurve_13	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	2387133	2012	0.001325555	0.000842852	B	0	Control
BR_1_13_B_Kcurve_13	pHLL250	NewPrimer_mariner	8935	2	0.000447577	0.000223839	B	0	Control
BR_1_13_B_Kcurve_13	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	5162	1	0.000193723	0.000193723	B	0	Control
BR_1_13_B_Kcurve_13	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	0	0	1	0	B	0	Control
BR_1_13_B_Kcurve_13	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	3	1	0.333333333	0.333333333	B	0	Control
BR_1_13_B_Kcurve_13	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_13_B_Kcurve_13	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_13_B_Kcurve_13	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_13_B_Kcurve_13	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_13_B_Kcurve_13	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_13_B_Kcurve_13	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_13_B_Kcurve_13	pHLL249	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_13_B_Kcurve_13	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_13_B_Kcurve_13	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_13_B_Kcurve_13	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_14_A_Kcurve_14	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	1891727	1192	0.001023998	0.000630112	A	0	Control
BR_1_14_A_Kcurve_14	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	7401	1	0.000135117	0.000135117	A	0	Control
BR_1_14_A_Kcurve_14	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	57	1	0.01754386	0.01754386	A	0	Control
BR_1_14_A_Kcurve_14	pHLL250	NewPrimer_mariner	33	1	0.135135135	0.03030303	A	0	Control
BR_1_14_A_Kcurve_14	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	0	0	1	0	A	0	Control
BR_1_14_A_Kcurve_14	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_14_A_Kcurve_14	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_14_A_Kcurve_14	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_14_A_Kcurve_14	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_14_A_Kcurve_14	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_14_A_Kcurve_14	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_14_A_Kcurve_14	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_14_A_Kcurve_14	pHLL249	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_14_A_Kcurve_14	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_14_A_Kcurve_14	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_14_B_Kcurve_14	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	2022412	1220	0.000987001	0.00060324	B	0	Control
BR_1_14_B_Kcurve_14	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	8008	1	0.000124875	0.000124875	B	0	Control
BR_1_14_B_Kcurve_14	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	120	1	0.008333333	0.008333333	B	0	Control
BR_1_14_B_Kcurve_14	pHLL250	NewPrimer_mariner	75	1	0.038961039	0.013333333	B	0	Control
BR_1_14_B_Kcurve_14	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	0	0	0.941176471	0	B	0	Control
BR_1_14_B_Kcurve_14	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_14_B_Kcurve_14	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_14_B_Kcurve_14	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_14_B_Kcurve_14	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_14_B_Kcurve_14	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_14_B_Kcurve_14	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_14_B_Kcurve_14	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_14_B_Kcurve_14	pHLL249	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_14_B_Kcurve_14	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_14_B_Kcurve_14	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	B	0	Control
BR_1_15_A_Kcurve_15	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	2047897	2437	0.001672522	0.001190001	A	0	Control
BR_1_15_A_Kcurve_15	pHLL250	NewPrimer_mariner	5529	7	0.001266052	0.001266052	A	0	Control
BR_1_15_A_Kcurve_15	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	0	0	1	0	A	0	Control
BR_1_15_A_Kcurve_15	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	1	0	A	0	Control
BR_1_15_A_Kcurve_15	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_15_A_Kcurve_15	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_15_A_Kcurve_15	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_15_A_Kcurve_15	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_15_A_Kcurve_15	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	0	0	0	0	A	0	Control
BR_1_15_A_Kcurve_15	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	A	0	Control
